row_type,party_name,party_order,party_votes,party_percentage,opstillingsform,nomination_label,polling_label,polling_url,election_id,nomination_district_id,polling_district_id,label,votes,percentage
party,"Venstre, Danmarks Liberale Parti",8,392,"7,2%",Prioriteret sideordnet,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,"Venstre, Danmarks Liberale Parti",8,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,194,
party,Danmarksdemokraterne - Inger Støjberg,9,76,"1,4%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Danmarksdemokraterne - Inger Støjberg,9,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,63,
party,Enhedslisten - De Rød-Grønne,10,653,"12,0%",Partiliste,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Enhedslisten - De Rød-Grønne,10,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,422,
party,Alternativet,11,256,"4,7%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party_list_votes,Alternativet,11,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,Partistemmer,131,
party,Uden for parti,12,,,,1. Aarhus Syd,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,d9aba151-512e-4910-ab5a-be4a3caf6e62,,,
party,Socialdemokratiet,0,1982,"15,1%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Frederiksbjerghallerne,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/80a0dd55-eb1b-4338-bf2d-6ec7eb196973,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,80a0dd55-eb1b-4338-bf2d-6ec7eb196973,,,
party_list_votes,Socialdemokratiet,0,,,,1. Aarhus Syd,Frederiksbjerghallerne,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/80a0dd55-eb1b-4338-bf2d-6ec7eb196973,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,80a0dd55-eb1b-4338-bf2d-6ec7eb196973,Partistemmer,1144,
party,Radikale Venstre,1,1735,"13,2%",Prioriteret sideordnet med valg på personlige stemmer,1. Aarhus Syd,Frederiksbjerghallerne,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/80a0dd55-eb1b-4338-bf2d-6ec7eb196973,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,80a0dd55-eb1b-4338-bf2d-6ec7eb196973,,,
party_list_votes,Radikale Venstre,1,,,,1. Aarhus Syd,Frederiksbjerghallerne,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/80a0dd55-eb1b-4338-bf2d-6ec7eb196973,47b883ef-d0d3-4cb6-9da5-91963f0e9ba0,a958e4eb-b66f-4b29-8170-a6ae6b44706b,80a0dd55-eb1b-4338-bf2d-6ec7eb196973,Partistemmer,911,
