candidate_name,party_name,storkreds,list_type,is_alphabetical,list_position,raw_position,opstillet_i_kreds,prioriteret_i_kreds,personal_votes,total_votes,valgt_token,elected_marker,valgt_nr,stedfortraeder_nr,is_elected,beat_someone_above,n_above,n_above_beaten
Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,prioriteret_sideordnet,False,8,Alle,Alle,"4,5,6,7,8,9,10,11,12",34636,34636,1K,K,1,,True,1,7,7
Lars Aagaard,Moderaterne,Fyns Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,"1,2,5,6",5685,5685,1K,K,1,,True,1,3,3
Frida Bruun,Moderaterne,Sydjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,"6,7",3193,3193,1T,T,1,,True,1,1,1
Henrik Frandsen,Moderaterne,Sydjyllands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,"1,2,3,4,5,8,9,10,11,12,13",4471,4471,1K,K,1,,True,1,2,2
Caroline Stage,Moderaterne,Østjyllands Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,"1,4,9,10",3751,3751,1K,K,1,,True,1,5,5
Morten E.G. Brautsch,Moderaterne,Vestjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,Alle,1585,1585,1K,K,1,,True,1,1,1
Mohammad Rona,Moderaterne,Nordjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,Alle,1604,1604,1K,K,1,,True,1,4,4
Mikkel Dencker,Dansk Folkeparti,Københavns Omegns Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,,750,750,1T,T,1,,True,1,2,1
Mette Thiesen,Dansk Folkeparti,Nordsjællands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,Alle,4555,4555,1K,K,1,,True,1,6,6
Jan Herskov,Dansk Folkeparti,Sjællands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,,460,460,1T,T,1,,True,1,6,6
Julie Jacobsen,Dansk Folkeparti,Sjællands Storkreds,prioriteret_sideordnet,False,8,Alle,Alle,,768,768,3K,K,3,,True,1,7,7
Malte Larsen,Dansk Folkeparti,Sjællands Storkreds,prioriteret_sideordnet,False,9,Alle,Alle,,1036,1036,2K,K,2,,True,1,8,8
Morten Messerschmidt,Dansk Folkeparti,Sjællands Storkreds,prioriteret_sideordnet,False,10,Alle,Alle,Alle,50819,50819,1K,K,1,,True,1,9,9
Josephine Alstrup Kofod,Dansk Folkeparti,Sydjyllands Storkreds,prioriteret_sideordnet,False,8,Alle,Alle,,734,734,1T,T,1,,True,1,7,6
Peter Kofod,Dansk Folkeparti,Sydjyllands Storkreds,prioriteret_sideordnet,False,9,Alle,Alle,Alle,15993,15993,1K,K,1,,True,1,8,8
Michael Nedersøe,Dansk Folkeparti,Østjyllands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,,2075,2075,1T,T,1,,True,1,3,3
Nick Zimmermann,Dansk Folkeparti,Østjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,Alle,6007,6007,1K,K,1,,True,1,4,4
Søren Boel Olesen,Dansk Folkeparti,Vestjyllands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,Alle,2446,2446,1K,K,1,,True,1,2,2
Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,Alle,3580,3580,1K,K,1,,True,1,4,4
Marie Brixtofte,"Venstre, Danmarks Liberale Parti",Københavns Omegns Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,1,2827,6514,1T,T,1,,True,1,1,1
Sophie Løhde,"Venstre, Danmarks Liberale Parti",Nordsjællands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,5,6784,12514,1K,K,1,,True,1,3,3
Peter Juel-Jensen,"Venstre, Danmarks Liberale Parti",Bornholms Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,Alle,3017,3494,1K,K,1,,True,1,1,1
Morten Dahlin,"Venstre, Danmarks Liberale Parti",Sjællands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,6,7021,12552,1K,K,1,,True,1,2,2
Jacob Jensen,"Venstre, Danmarks Liberale Parti",Sjællands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,10,4265,7629,2K,K,2,,True,1,6,5
Stephanie Lose,"Venstre, Danmarks Liberale Parti",Sydjyllands Storkreds,prioriteret_sideordnet,False,8,Alle,Alle,4,31008,41544,1K,K,1,,True,1,7,7
Anni Matthiesen,"Venstre, Danmarks Liberale Parti",Sydjyllands Storkreds,prioriteret_sideordnet,False,10,Alle,Alle,7,6339,7978,2K,K,2,,True,1,9,8
Christoffer Aagaard Melson,"Venstre, Danmarks Liberale Parti",Sydjyllands Storkreds,prioriteret_sideordnet,False,11,Alle,Alle,8,4074,6028,3K,K,3,,True,1,10,8
Mathilde Hjort Bressum,"Venstre, Danmarks Liberale Parti",Østjyllands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,,2317,3707,1T,T,1,,True,1,2,2
Louise Louring,"Venstre, Danmarks Liberale Parti",Østjyllands Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,,3355,5111,2K,K,2,,True,1,5,5
Troels Lund Poulsen,"Venstre, Danmarks Liberale Parti",Østjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,Alle,19857,29320,1K,K,1,,True,1,6,6
Thomas Danielsen,"Venstre, Danmarks Liberale Parti",Vestjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,10,5966,7608,2K,K,2,,True,1,1,1
Søren Gade,"Venstre, Danmarks Liberale Parti",Vestjyllands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,11,15775,21608,1K,K,1,,True,1,3,3
Trine Jepsen,"Venstre, Danmarks Liberale Parti",Vestjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,9,4921,6892,3K,K,3,,True,1,6,3
Marie Bjerre,"Venstre, Danmarks Liberale Parti",Nordjyllands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,5,15319,19961,1K,K,1,,True,1,2,2
Preben Bang Henriksen,"Venstre, Danmarks Liberale Parti",Nordjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,9,11947,15980,2K,K,2,,True,1,4,3
Marlene Harpsøe,Danmarksdemokraterne - Inger Støjberg,Nordsjællands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,"1,3",575,575,1T,T,1,,True,1,1,1
Susie Jessen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,"4,9",1946,1946,1K,K,1,,True,1,2,2
Ulrik Knudsen,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,"6,7,13",2023,2023,1T,T,1,,True,1,4,3
Hans Kristian Skibby,Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,"4,10",1818,1818,1K,K,1,,True,1,4,4
Dennis Flydtkjær,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,"6,8,10",4360,4360,2K,K,2,,True,1,1,1
Mads Fuglede,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,"4,11",5806,5806,1K,K,1,,True,1,2,2
Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,"6,7,8,9",29995,29995,1K,K,1,,True,1,5,5
Franciska Rosenkilde,Alternativet,Københavns Storkreds,prioriteret_sideordnet,False,13,Alle,Alle,Alle,11385,11385,1K,K,1,,True,1,12,12
Signe Wenneberg,Alternativet,Københavns Omegns Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,Alle,3349,3349,1T,T,1,,True,1,5,5
Elise Sydendal,Alternativet,Sjællands Storkreds,prioriteret_sideordnet,False,11,Alle,Alle,,1298,1298,1T,T,1,,True,1,10,10
Torsten Gejl,Alternativet,Østjyllands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,Alle,3316,3316,1T,T,1,,True,1,3,3
