candidate_name,party_name_results,storkreds,landsdel,opstillet_i_kreds,prioriteret_i_kreds,total_votes,personal_votes,valgt_token,valgt_nr,stedfortraeder_nr,elected_marker,is_elected
Finn Hartvig Nielsen,Radikale Venstre,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"3,10",124,124,,,6,,False
Lasse Skov Ovesen,Radikale Venstre,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"1,2",111,111,,,7,,False
Lotte Rod,Radikale Venstre,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"9,12",2946,2946,,,1,,False
Nils Sjøberg,Radikale Venstre,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,13,281,281,,,3,,False
Nicholas Wentworth,Radikale Venstre,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,11,217,217,,,4,,False
Rabih Azad-Ahmad,Radikale Venstre,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,2385,2385,,,2,,False
Anne Sophie Callesen,Radikale Venstre,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,9,4101,4101,,,1,,False
Rikke Christensen,Radikale Venstre,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,"10,11",844,844,,,5,,False
Rune Christiansen,Radikale Venstre,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,1,683,683,,,7,,False
Bjarke Jensen,Radikale Venstre,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,"5,8",389,389,,,8,,False
Line Rasmussen,Radikale Venstre,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,"6,7",1740,1740,,,3,,False
Katrine Robsøe,Radikale Venstre,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,4,6406,6406,1K,1,,K,True
Hanne Roed,Radikale Venstre,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,3,764,764,,,6,,False
Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,1030,1030,,,4,,False
Johan Brødsgaard,Radikale Venstre,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"6,10",1057,1057,,,1,,False
Hanne Frølund,Radikale Venstre,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,7,191,191,,,4,,False
Lone Kjær Hein,Radikale Venstre,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,5,578,578,,,2,,False
Casper Hindkjær,Radikale Venstre,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,9,189,189,,,5,,False
Kim Pagels,Radikale Venstre,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"3,4",183,183,,,6,,False
Peter Vestergaard,Radikale Venstre,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"1,2",268,268,,,3,,False
Philip Vivet,Radikale Venstre,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"8,11",1443,1443,1T,1,,T,True
Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,859,859,,,1,,False
Pia Elberg,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,5,389,389,,,5,,False
Steffen Holme Helledie,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,9,1124,1124,1T,1,,T,True
Dorthe Kerschus,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,3,158,158,,,8,,False
Susanne Krebs,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,8,286,286,,,6,,False
Michael Portefee P. Lex,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,6,142,142,,,9,,False
Steen Asgeir Petersen,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,4,119,119,,,10,,False
Jacob Robsøe,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,7,677,677,,,4,,False
Gorm Simonsen,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,66,66,,,11,,False
Emma Biørn Tretow-Fish,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,822,822,,,2,,False
Marie Wandel,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,1,280,280,,,7,,False
Torsten Wetche,Radikale Venstre,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,679,679,,,3,,False
Lasse Vogel Andersen,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,4,261,261,,,10,,False
Pernille Birch,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,5,657,657,,,7,,False
Rasmus Bjergegaard,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,8,871,871,,,6,,False
Helle Bonnesen,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,1,2852,2852,2K,2,,K,True
Nikolaj Bøgh,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,11,1827,1827,,,2,,False
Line Ervolder,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,9,1008,1008,,,5,,False
Helene Fagerhøj,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,2,1841,1841,,,1,,False
Carina Høedt,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,6,1063,1063,,,4,,False
Anders Havelund Krøyer,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,3,339,339,,,9,,False
Niels Peder Ravn,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,7,461,461,,,8,,False
Anders Storgaard,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,10,3099,3099,1K,1,,K,True
Mia Tang,Det Konservative Folkeparti,Københavns Storkreds,Hovedstaden,Alle,12,1676,1676,,,3,,False
Julie Ahlefeldt-Laurvig,Det Konservative Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,3,1077,1077,,,4,,False
Isabella Arendt,Det Konservative Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,7,2132,2132,,,1,,False
Magnus Von Dreiager,Det Konservative Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,2,1718,1718,,,2,,False
Tina Cartey Hansen,Det Konservative Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,6,1421,1421,,,3,,False
Jette Larsen,Det Konservative Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,4,377,377,,,6,,False
Sigurd Hebo Lønholdt,Det Konservative Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,5,128,128,,,7,,False
Christian Vigilius,Det Konservative Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,1,4295,4295,1K,1,,K,True
Dorte Vilhelmsen,Det Konservative Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,8,498,498,,,5,,False
Mette Abildgaard,Det Konservative Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,6,10807,10807,1K,1,,K,True
Birgitte Bergman,Det Konservative Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,1,3176,3176,1T,1,,T,True
Daniel Drefeld,Det Konservative Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,5,589,589,,,4,,False
Frederik Germann,Det Konservative Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,4,1243,1243,,,2,,False
Emma Juul Hansen,Det Konservative Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,3,2270,2270,,,1,,False
Egil Hulgaard,Det Konservative Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,2,1027,1027,,,3,,False
Peter Svarre Fridolf,Det Konservative Folkeparti,Bornholms Storkreds,Hovedstaden,Alle,2,97,97,,,2,,False
Kristoffer Kromand,Det Konservative Folkeparti,Bornholms Storkreds,Hovedstaden,Alle,1,255,255,,,1,,False
Jane Christensen,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,10,445,445,,,6,,False
Ida Dyhr,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,6,1572,1572,,,2,,False
Barbara Engelstoft,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,4,356,356,,,7,,False
Silas Ipsen,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,5,568,568,,,4,,False
Henrik Jacobsen,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,1,219,219,,,10,,False
Ditte Keidser,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,9,352,352,,,8,,False
Marcus Knuth,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,2,4394,4394,1K,1,,K,True
Rune Kristensen,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,11,1880,1880,1T,1,,T,True
Vilhelm Møller,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,3,546,546,,,5,,False
Victoria Helene Olsen,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,8,1874,1874,,,1,,False
Mads Ramstedt,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,7,220,220,,,9,,False
Jacob Stryhn,Det Konservative Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,12,596,596,,,3,,False
