candidate_name,party_name,storkreds
Vibeke Frost,Alternativet,Københavns Storkreds
Flemming Steenlykke,Borgernes Parti - Lars Boje Mathiesen,Københavns Storkreds
Rikke Hansen,Borgernes Parti - Lars Boje Mathiesen,Københavns Storkreds
Benny Bindslev,Danmarksdemokraterne - Inger Støjberg,Københavns Storkreds
Eva Bechmann,Danmarksdemokraterne - Inger Støjberg,Københavns Storkreds
Martin Sibast,Danmarksdemokraterne - Inger Støjberg,Københavns Storkreds
Allan Feldt,Dansk Folkeparti,Københavns Storkreds
Denise Rostgaard,Dansk Folkeparti,Københavns Storkreds
Merete Dea Larsen,Dansk Folkeparti,Københavns Storkreds
Paw Karslund,Dansk Folkeparti,Københavns Storkreds
Anders Havelund Krøyer,Det Konservative Folkeparti,Københavns Storkreds
Anders Storgaard,Det Konservative Folkeparti,Københavns Storkreds
Carina Høedt,Det Konservative Folkeparti,Københavns Storkreds
Helene Fagerhøj,Det Konservative Folkeparti,Københavns Storkreds
Helle Bonnesen,Det Konservative Folkeparti,Københavns Storkreds
Lasse Vogel Andersen,Det Konservative Folkeparti,Københavns Storkreds
Line Ervolder,Det Konservative Folkeparti,Københavns Storkreds
Mia Tang,Det Konservative Folkeparti,Københavns Storkreds
Niels Peder Ravn,Det Konservative Folkeparti,Københavns Storkreds
Nikolaj Bøgh,Det Konservative Folkeparti,Københavns Storkreds
Pernille Birch,Det Konservative Folkeparti,Københavns Storkreds
Rasmus Bjergegaard,Det Konservative Folkeparti,Københavns Storkreds
Charlotte Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds
David Rønne,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Leila Stockmarr,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Maria Sofie Petersen,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Mette Bloch Hansen,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Pil Christensen,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Pil Yildiz,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Reinout Bosch,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds
Alexander Ryle,Liberal Alliance,Københavns Storkreds
Charlotte Nellemann,Liberal Alliance,Københavns Storkreds
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,Københavns Storkreds
Line Østergaard Olsen,Liberal Alliance,Københavns Storkreds
Mads Strange,Liberal Alliance,Københavns Storkreds
Merete Riisager,Liberal Alliance,Københavns Storkreds
Ole Birk Olesen,Liberal Alliance,Københavns Storkreds
Per Nørgaard Andersen,Liberal Alliance,Københavns Storkreds
Torben Guldbæk,Liberal Alliance,Københavns Storkreds
Ali Qais,Moderaterne,Københavns Storkreds
Ellen Emilie,Moderaterne,Københavns Storkreds
Jakob Engel-Schmidt,Moderaterne,Københavns Storkreds
Lisbeth Dam Larsen,Moderaterne,Københavns Storkreds
Mads Sebbelov,Moderaterne,Københavns Storkreds
Nanna W. Gotfredsen,Moderaterne,Københavns Storkreds
Anne-Sofie Sadolin,Radikale Venstre,Københavns Storkreds
Emil Moselund,Radikale Venstre,Københavns Storkreds
Frederik Rosberg,Radikale Venstre,Københavns Storkreds
Helene Langager,Radikale Venstre,Københavns Storkreds
Julie Herdal,Radikale Venstre,Københavns Storkreds
Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds
Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds
Marianne Mortensen,Radikale Venstre,Københavns Storkreds
Mikkel Senna Odoom,Radikale Venstre,Københavns Storkreds
Samira Nawa,Radikale Venstre,Københavns Storkreds
Thomas Markmann,Radikale Venstre,Københavns Storkreds
Thomas Rohden,Radikale Venstre,Københavns Storkreds
Bjarke Bisgaard Yolal,SF - Socialistisk Folkeparti,Københavns Storkreds
Carl Valentin,SF - Socialistisk Folkeparti,Københavns Storkreds
Cecilie Louise Balbay Holdt,SF - Socialistisk Folkeparti,Københavns Storkreds
Halime Oguz,SF - Socialistisk Folkeparti,Københavns Storkreds
Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,Københavns Storkreds
Lisbeth Bech-Nielsen,SF - Socialistisk Folkeparti,Københavns Storkreds
Mikkel Sammy Christensen,SF - Socialistisk Folkeparti,Københavns Storkreds
Morten Bering,SF - Socialistisk Folkeparti,Københavns Storkreds
Nanna Bonde,SF - Socialistisk Folkeparti,Københavns Storkreds
Rune Palm,SF - Socialistisk Folkeparti,Københavns Storkreds
Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds
Asbjørn Reissmann,Socialdemokratiet,Københavns Storkreds
Camilla Hoffmann,Socialdemokratiet,Københavns Storkreds
Emilla Møller,Socialdemokratiet,Københavns Storkreds
Erik Jensen,Socialdemokratiet,Københavns Storkreds
Ida Auken,Socialdemokratiet,Københavns Storkreds
Jarl Feyling,Socialdemokratiet,Københavns Storkreds
Marcus Vesterager,Socialdemokratiet,Københavns Storkreds
Mette Reissmann,Socialdemokratiet,Københavns Storkreds
Peter Hummelgaard,Socialdemokratiet,Københavns Storkreds
Sophie Hæstorp Andersen,Socialdemokratiet,Københavns Storkreds
Stig Ekman,Socialdemokratiet,Københavns Storkreds
Yildiz Akdogan,Socialdemokratiet,Københavns Storkreds
John Erik Wagner,Uden for partierne,Københavns Storkreds
Rashid Ali,Uden for partierne,Københavns Storkreds
Rasmus Paludan,Uden for partierne,Københavns Storkreds
Theresa Scavenius,Uden for partierne,Københavns Storkreds
Anders Fausbøll,Venstre,Københavns Storkreds
Claus Buch,Venstre,Københavns Storkreds
Jan E. Jørgensen,Venstre,Københavns Storkreds
Linea Søgaard-Lidell,Venstre,Københavns Storkreds
Malene Sandfeld,Venstre,Københavns Storkreds
Natascha Remvig,Venstre,Københavns Storkreds
Zeynep Bardakci,Venstre,Københavns Storkreds
Anette Jensen Smith,Alternativet,Nordjyllands Storkreds
Anna Bjerre,Alternativet,Nordjyllands Storkreds
Anne-Marie Hemmeth,Alternativet,Nordjyllands Storkreds
Emil Sloth,Alternativet,Nordjyllands Storkreds
Arne Hyldgaard,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds
Ib Poulsen,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds
John Bjerg,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds
Niels Christensen,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds
Paulina Laparil,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds
Claus Skovmose,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds
Frederik Storm,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds
Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds
Kim Edberg Andersen,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds
Kristian Bøgsted,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds
Liselotte Lynge,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds
Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds
Danny Rosenkilde,Dansk Folkeparti,Nordjyllands Storkreds
Emma Houe Mølgaard,Dansk Folkeparti,Nordjyllands Storkreds
