row_type,party_name,party_order,party_votes,party_percentage,opstillingsform,nomination_label,polling_label,polling_url,election_id,nomination_district_id,polling_district_id,label,votes,percentage,error
party_list_votes,Kristendemokraterne,7,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,15,,
party,Dansk Folkeparti,8,200,"-239 -15,8%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Dansk Folkeparti,8,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,68,,
party,Stram Kurs,9,37,"+37 +2,2%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Stram Kurs,9,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,32,,
party,"Venstre, Danmarks Liberale Parti",10,360,"+64 +2,9%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,"Venstre, Danmarks Liberale Parti",10,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,173,,
party,Enhedslisten - De Rød-Grønne,11,70,"-46 -3,1%",Partiliste,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Enhedslisten - De Rød-Grønne,11,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,55,,
party,Alternativet,12,34,"+2 +0,0%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party_list_votes,Alternativet,12,,,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,Partistemmer,21,,
party,Uden for parti,13,,- -,,Aabenraakredsen,Aabenraa Nord,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/883aa2a0-4ba3-43a8-995d-cc8667692b09,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,883aa2a0-4ba3-43a8-995d-cc8667692b09,,,,
party,Socialdemokratiet,0,808,"+39 +3,0%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Syd,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/105d4b69-72c2-4eee-9a89-ecf9c3bb1fa0,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,105d4b69-72c2-4eee-9a89-ecf9c3bb1fa0,,,,
party_list_votes,Socialdemokratiet,0,,,,Aabenraakredsen,Aabenraa Syd,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/105d4b69-72c2-4eee-9a89-ecf9c3bb1fa0,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,105d4b69-72c2-4eee-9a89-ecf9c3bb1fa0,Partistemmer,389,,
