nomination_label,nomination_url,polling_label,polling_url
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Vejgaard Østre Skole,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/0bb88325-7ec7-40de-b7ec-2a6b3fef4cd9
Aalborg Østkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1,Vejgaardhallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/b3eb767c-1c7a-40b4-9401-e53bb32b08d1/polling-district/531ecb85-e966-44e6-be25-78970601ee44
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,"Bjørnshøjcentret, Trige",https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/51967a68-5212-497b-b70d-01a85e0a6600
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Center-10,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/df93c50f-59c2-44f8-87c5-783b1a52e3cf
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,"Gammelgårdskolen, Åbyhøj",https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/08e43784-0573-47d7-bd9e-694876138ae8
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Hasle Skole,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/64a6a333-e985-4d8b-bede-54943b4d21cf
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Håruphallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/263a5e76-0885-4a27-b83f-eb51f995b005
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Katrinebjergskolen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/8a47c288-f37e-41ec-9097-4d92293d8bd0
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Lisbjergskolen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/bb75775f-262e-428a-b7bd-2016f258616d
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Lystrup Hallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/47ae1e23-2c29-41aa-a5c1-95287a1cefd9
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Møllevangskolen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/b0c1575e-06a9-4fe1-8b8d-274e9889b0fd
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Skovvangskolen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/fc3dc56c-a5c0-4408-bd50-6c38d320f925
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Spørring Fælleshus,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/067832e1-640e-4fe3-a61c-95bdf3785a5f
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,VIA University College,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/d0f20e69-e8a7-4ab6-a6de-048cf7d89e2f
Aarhus Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50,Vorrevangskolen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/254a1883-0b79-42c1-a4ee-d426598ead50/polling-district/cc9badf3-2c4a-4d55-8a0f-2b6ef1def98b
