party_name,storkreds,candidate_name
Det Konservative Folkeparti,Sydjyllands Storkreds,Christina Foldager
Det Konservative Folkeparti,Sydjyllands Storkreds,Dan Arnløv
Det Konservative Folkeparti,Sydjyllands Storkreds,Gitte Eriksen
Det Konservative Folkeparti,Sydjyllands Storkreds,Kristian Thomsen
Det Konservative Folkeparti,Sydjyllands Storkreds,Rasmus Sandvej
Socialdemokratiet,Sydjyllands Storkreds,Benny Engelbrecht
Socialdemokratiet,Sydjyllands Storkreds,Birgitte Vind
Socialdemokratiet,Sydjyllands Storkreds,Bjørn Laursen
Socialdemokratiet,Sydjyllands Storkreds,Jesper Petersen
Socialdemokratiet,Sydjyllands Storkreds,Kim Eskesen
Socialdemokratiet,Sydjyllands Storkreds,Maria Radoor
Socialdemokratiet,Sydjyllands Storkreds,Tommi Christensen
