candidate_name,party_name,storkreds,query_used,search_engine,query_phase,result_title,result_snippet,profile_url,profile_handle,handle_score,name_score,party_score,context_score,total_score,status
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Gustav Wilde""",ddg,1,Умерла Ли Вера В Дети Перемен | TikTok,Смотрите видео на тему «Умерла Ли Вера В Дети Перемен» в TikTok.,https://www.tiktok.com/discover/умерла-ли-вера-в-дети-перемен,,0,0,0,0,0,no_match
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Gustav Wilde""",ddg,1,Left Side of Memory | TikTok,"Смотрите больше видео на тему « Gustav Wilde , Adrian Eppley, Kayte Giralt, Love at Last Sight, Body Swap, Hyaluronic Facial Cream».",https://www.tiktok.com/discover/Left-Side-of-Memory?lang=ru-RU,,0,25,8,0,33,manual_review
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"""Gustav Wilde"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@gustavwilde""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40gustavwilde%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"""Gustav Wilde"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@gustav.wilde""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40gustav.wilde%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"""Gustav Wilde"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"""Gustav Wilde"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Martin Lissner,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Martin Lissner""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22Martin+Lissner%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Martin Lissner,Liberal Alliance,Fyns Storkreds,"""Martin Lissner"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Martin Lissner,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@martinlissner""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40martinlissner%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Martin Lissner,Liberal Alliance,Fyns Storkreds,"""Martin Lissner"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Martin Lissner,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@martin.lissner""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40martin.lissner%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Martin Lissner,Liberal Alliance,Fyns Storkreds,"""Martin Lissner"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Martin Lissner,Liberal Alliance,Fyns Storkreds,"""Martin Lissner"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Thomas Estrup,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Thomas Estrup""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22Thomas+Estrup%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Thomas Estrup,Liberal Alliance,Fyns Storkreds,"""Thomas Estrup"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Thomas Estrup,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@thomasestrup""",ddg,0,,ERROR: Request timed out: ConnectTimeout('timed out'),,,0,0,0,0,0,search_error
Thomas Estrup,Liberal Alliance,Fyns Storkreds,"""Thomas Estrup"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Thomas Estrup,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@thomas.estrup""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40thomas.estrup%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Thomas Estrup,Liberal Alliance,Fyns Storkreds,"""Thomas Estrup"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Thomas Estrup,Liberal Alliance,Fyns Storkreds,"""Thomas Estrup"" tiktok liberal alliance",google,0,,ERROR: rate limited,,,0,0,0,0,0,search_error
Hanne Bjørn,Liberal Alliance,Københavns Omegns Storkreds,"site:tiktok.com ""Hanne Bjørn""",ddg,1,Klokkerholmenleirskole | TikTok,@MAYA.PEDERSEN @ hanne @ bjørn qq. vilde.ingebrigtsen. u can hold my hand - judi.,https://www.tiktok.com/discover/klokkerholmenleirskole,,0,25,0,0,25,manual_review
