candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,status
Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,andersvistisen,https://www.tiktok.com/@andersvistisen,55,25,0,0,80,high_confidence
Anna Poulsen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,annapoulsen,https://www.tiktok.com/@annapoulsen,55,25,0,0,80,high_confidence
Astrid Fogh,Alternativet,Sydjyllands Storkreds,astridfogh,https://www.tiktok.com/@astridfogh,55,25,0,0,80,high_confidence
Benjamin Christensen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,benjamin_christensen,https://www.tiktok.com/@benjamin_christensen,55,25,0,0,80,high_confidence
Carl Andersen,Liberal Alliance,Sydjyllands Storkreds,carlandersen27,https://www.tiktok.com/@carlandersen27,35,25,15,5,80,high_confidence
Carl Emil Lind,Socialdemokratiet,Sjællands Storkreds,carl.emil.lind.ch,https://www.tiktok.com/@carl.emil.lind.ch,35,25,15,5,80,high_confidence
Charlotte Ellenberger,SF - Socialistisk Folkeparti,Fyns Storkreds,charlotteellenberger,https://www.tiktok.com/@charlotteellenberger,55,25,0,0,80,high_confidence
Charlotte Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,charlotte_.lund,https://www.tiktok.com/@charlotte_.lund,55,25,0,0,80,high_confidence
Christian Kirk,Dansk Folkeparti,Sydjyllands Storkreds,christiankirk,https://www.tiktok.com/@christiankirk,55,25,0,0,80,high_confidence
David Ibsen,Liberal Alliance,Københavns Omegns Storkreds,david_ibsen,https://www.tiktok.com/@david_ibsen,55,25,0,0,80,high_confidence
Dorte M. Nielsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,dortenielsen,https://www.tiktok.com/@dortenielsen,55,25,0,0,80,high_confidence
Emil Nielsen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,emilnielsen,https://www.tiktok.com/@emilnielsen,55,25,0,0,80,high_confidence
Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,emilie.schytte.bp,https://www.tiktok.com/@emilie.schytte.bp,35,25,15,5,80,high_confidence
Frederik Storm,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,frederikstorm,https://www.tiktok.com/@frederikstorm,55,25,0,0,80,high_confidence
Hans Andersen,Venstre,Nordsjællands Storkreds,hansandersenvenstre,https://www.tiktok.com/@hansandersenvenstre,35,25,15,5,80,high_confidence
Ibrahim Benli,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,__ibrahimbenli,https://www.tiktok.com/@__ibrahimbenli,55,25,0,0,80,high_confidence
Jakob Jensen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,jakob.jensen,https://www.tiktok.com/@jakob.jensen,55,25,0,0,80,high_confidence
Jesper Bierbaum,Venstre,Sydjyllands Storkreds,jesperbierbaumvenstre,https://www.tiktok.com/@jesperbierbaumvenstre,35,25,15,5,80,high_confidence
John Erik Wagner,Uden for partierne,Københavns Storkreds,john.erik.wagner,https://www.tiktok.com/@john.erik.wagner,55,25,0,0,80,high_confidence
Josefine Paaske,Venstre,Sjællands Storkreds,josefinepaaske3,https://www.tiktok.com/@josefinepaaske3,35,25,15,5,80,high_confidence
Julie Jacobsen,Dansk Folkeparti,Sjællands Storkreds,juliejacobsen,https://www.tiktok.com/@juliejacobsen,55,25,0,0,80,high_confidence
Kasper Thomassen,Venstre,Vestjyllands Storkreds,kasperthomassen,https://www.tiktok.com/@kasperthomassen,55,25,0,0,80,high_confidence
Katrine Schiller,Danmarksdemokraterne - Inger Støjberg,Nordsjællands Storkreds,katrineschiller,https://www.tiktok.com/@katrineschiller,55,25,0,0,80,high_confidence
Kim Pagels,Radikale Venstre,Vestjyllands Storkreds,kimpagels,https://www.tiktok.com/@kimpagels,55,25,0,0,80,high_confidence
Lars Bregnbak,Danmarksdemokraterne - Inger Støjberg,Nordsjællands Storkreds,lars_bregnbak,https://www.tiktok.com/@lars_bregnbak,55,25,0,0,80,high_confidence
Line Rasmussen,Radikale Venstre,Østjyllands Storkreds,linerasmussen,https://www.tiktok.com/@linerasmussen,55,25,0,0,80,high_confidence
Louis Jacobsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,louisjacobsen,https://www.tiktok.com/@louisjacobsen,55,25,0,0,80,high_confidence
Mads Sebbelov,Moderaterne,Københavns Storkreds,madssebbelov1,https://www.tiktok.com/@madssebbelov1,35,25,15,5,80,high_confidence
Magnus Georg Jensen,Radikale Venstre,Københavns Storkreds,magnusgeorgjensen,https://www.tiktok.com/@magnusgeorgjensen,55,25,0,0,80,high_confidence
Malene Sandfeld,Venstre,Københavns Storkreds,malenesandfeld,https://www.tiktok.com/@malenesandfeld,55,25,0,0,80,high_confidence
Martin Laursen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,martinlaursen,https://www.tiktok.com/@martinlaursen,55,25,0,0,80,high_confidence
Mathilde Vinther,Enhedslisten - De Rød-Grønne,Københavns Storkreds,mathilde_vinther,https://www.tiktok.com/@mathilde_vinther,55,25,0,0,80,high_confidence
Mikael Winther,Alternativet,Sydjyllands Storkreds,mikael_winther,https://www.tiktok.com/@mikael_winther,55,25,0,0,80,high_confidence
Mikkel Bisgaard,Venstre,Nordjyllands Storkreds,mikkelbisgaard,https://www.tiktok.com/@mikkelbisgaard,55,25,0,0,80,high_confidence
Milo Gaarde,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,milo_gaarde,https://www.tiktok.com/@milo_gaarde,55,25,0,0,80,high_confidence
Peter Samir,Alternativet,Københavns Omegns Storkreds,petersamir,https://www.tiktok.com/@petersamir,55,25,0,0,80,high_confidence
Qasam Nazir Ahmad,Alternativet,Københavns Storkreds,qasam_nazir_ahmad,https://www.tiktok.com/@qasam_nazir_ahmad,55,25,0,0,80,high_confidence
Reza Javid,Enhedslisten - De Rød-Grønne,Fyns Storkreds,reza_javid,https://www.tiktok.com/@reza_javid,55,25,0,0,80,high_confidence
Romeo Troelsgaard,Dansk Folkeparti,Fyns Storkreds,romeotroelsgaard,https://www.tiktok.com/@romeotroelsgaard,55,25,0,0,80,high_confidence
Rosa Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,rosa_lund,https://www.tiktok.com/@rosa_lund,55,25,0,0,80,high_confidence
Sofie Lippert,SF - Socialistisk Folkeparti,Østjyllands Storkreds,sofielippert,https://www.tiktok.com/@sofielippert,55,25,0,0,80,high_confidence
Sofie Mosgaard,Venstre,Fyns Storkreds,sofiemosgaard,https://www.tiktok.com/@sofiemosgaard,55,25,0,0,80,high_confidence
Søren Jensen,Liberal Alliance,Østjyllands Storkreds,sorenjensenla,https://www.tiktok.com/@sorenjensenla,39,25,15,0,79,high_confidence
Jan E. Jørgensen,Venstre,Københavns Storkreds,janjorgensen,https://www.tiktok.com/@janjorgensen,53,25,0,0,78,high_confidence
Mikkel Bjørn,Dansk Folkeparti,Københavns Omegns Storkreds,mikkelbjorn,https://www.tiktok.com/@mikkelbjorn,53,25,0,0,78,high_confidence
Sarah Nørris,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,sarahnorris,https://www.tiktok.com/@sarahnorris,53,25,0,0,78,high_confidence
Anders Krojgaard Lund,Det Konservative Folkeparti,Østjyllands Storkreds,anderslund,https://www.tiktok.com/@anderslund,53,16,8,0,77,high_confidence
Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,andershansen,https://www.tiktok.com/@andershansen,53,16,8,0,77,high_confidence
Jeppe von Berg,Moderaterne,Vestjyllands Storkreds,jeppeberg,https://www.tiktok.com/@jeppeberg,53,16,8,0,77,high_confidence
Joachim Hoffmann-Petersen,Det Konservative Folkeparti,Fyns Storkreds,joachimpetersen,https://www.tiktok.com/@joachimpetersen,53,16,8,0,77,high_confidence
Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,_katrinejensen,https://www.tiktok.com/@_katrinejensen,53,16,8,0,77,high_confidence
Lasse Haugaard Pedersen,Socialdemokratiet,Fyns Storkreds,lassepedersen,https://www.tiktok.com/@lassepedersen,53,16,8,0,77,high_confidence
Leif Lahn Jensen,Socialdemokratiet,Østjyllands Storkreds,leifjensen,https://www.tiktok.com/@leifjensen,53,16,8,0,77,high_confidence
