candidate_key,candidate_name,party_name,storkreds,age_num,education,tiktok_exists,candidate_votes_total_2026,party_votes_total_2026,vote_share_of_party_total_2026,videos_last_7d,videos_last_14d,videos_last_30d,videos_last_90d,videos_total_2026,prior_vote_share_of_party_2022,prior_party_rank_2022
Mette Bram || Alternativet || københavn,Mette Bram,Alternativet,københavn,0.0,Kandidat-/masteruddannelse,0,217,44532,0.004872900386239109,0.0,0.0,0.0,0.0,0.0,0.01951429493847975,7.0
Mette Frederiksen || Socialdemokratiet || nordjylland,Mette Frederiksen,Socialdemokratiet,nordjylland,0.0,Ikke oplyst,1,41721,369428,0.11293404939528136,13.0,24.0,33.0,33.0,33.0,0.17072835341726114,1.0
Mette Friis || Alternativet || sjælland,Mette Friis,Alternativet,sjælland,0.0,Bachelor-/diplomuddannelse,0,199,44532,0.004468696667564897,0.0,0.0,0.0,0.0,0.0,,
Mette Hvid Brockmann || Radikale Venstre || sjælland,Mette Hvid Brockmann,Radikale Venstre,sjælland,0.0,Kandidat-/masteruddannelse,0,600,100983,0.005941594129705,0.0,0.0,0.0,0.0,0.0,,
Mette Reissmann || Socialdemokratiet || københavn,Mette Reissmann,Socialdemokratiet,københavn,0.0,Kandidat-/masteruddannelse,1,1841,369428,0.0049833797113375275,3.0,8.0,15.0,15.0,15.0,0.00939276754093024,37.0
Mette Skaarup || Enhedslisten - De Rød-Grønne || fyn,Mette Skaarup,Enhedslisten - De Rød-Grønne,fyn,0.0,Kandidat-/masteruddannelse,0,428,86659,0.004938898441015936,0.0,0.0,0.0,0.0,0.0,,
Mette Thiesen || Dansk Folkeparti || nordsjælland,Mette Thiesen,Dansk Folkeparti,nordsjælland,0.0,Seminaruddannelse,0,4555,126849,0.03590883649063059,0.0,0.0,0.0,0.0,0.0,,
Mia Linda Møller || Moderaterne || sjælland,Mia Linda Møller,Moderaterne,sjælland,0.0,Kandidat-/masteruddannelse,0,322,100412,0.0032067880333027923,0.0,0.0,0.0,0.0,0.0,,
Mia Tang || Det Konservative Folkeparti || københavn,Mia Tang,Det Konservative Folkeparti,københavn,0.0,Kandidat-/masteruddannelse,1,1676,133656,0.012539654037229904,7.0,10.0,13.0,13.0,13.0,,
Michael Bang Pedersen || Borgernes Parti - Lars Boje Mathiesen || østjylland,Michael Bang Pedersen,Borgernes Parti - Lars Boje Mathiesen,østjylland,0.0,Erhvervsuddannelse,0,30,22238,0.001349042180052163,0.0,0.0,0.0,0.0,0.0,,
